content,content_processed
hello team welcome nephrotex,hello team welcome nephrotex
maria williams design advisor internship,maria williams design adviser internship
help questions,help question
please introduce name prefer called workpro records work review external consultant improve quality internship program ask use first name internship protect privacy,please introduce name prefer call workpro record work review external consultant improve quality internship program ask use first name only internship protect privacy
want make sure everyone found chat interface please send chat check group make chat window bigger clicking icon top right corner,just want make sure everyone find chat interface please send chat check group make chat window big click icon top right corner
hello brandon,hello brandon
zelin,zelin
hi,hi
jack,jack
hey rachel,hey rachel
royce,royce
already please check email,not_already please check email
throughout time nephrotex receiving emails boss alex send instructions work throughout course internship,throughout time nephrotex receive email bos alex send instruction work throughout course internship
please check deliverable list bottom right corner workpro,please check deliverance list bottom right corner workpro
deliverables assigned show list able check see original email instructions alex sent whether submitted deliverable whether vedant approved deliverable,deliverable assign show list able check see original email instruction alex send whether submit deliverance whether vedant approve deliverance
detailed information deliverable list click info button top right corner deliverables list tab,detailed information deliverance list click button top right corner deliverables list tab
provided summary workflow resource shared space plagiarism tolerated make sure paraphrase summary notebook entry,provide summary workflow resource shared space plagiarism not_tolerated make sure paraphrase summary notebook entry
imperative know answers questions interview,imperative know answer question interview
done notebook entry submit alex clicking submit button middle notebook window,notebook entry submit alex click submit button middle notebook window
wo able edit entry submitted need update correct work cancel submission clicking x deliverables list,not_be able edit entry submit need update correct work cancel submission click x deliverables list
cancel submissions alex viewed make sure included everything required submitting,only cancel submission alex view make sure include everything require submit
soon submit notebook alex review send feedback soon waiting assist teammates submitted deliverable team able move next task team members notebooks witnessed,soon submit notebook alex review send feedback soon wait assist teammate not_submitted deliverance team not_be able move next task team member ' notebook witness
back undergrad interned mechanical engineering company designed exoskeletons rescue workers working different project put example summary used previous project shared space alex pretty similar boss internship welcome use template write note language length response,back undergrad internet mechanical engineering company design exoskeleton rescue worker work different project put example summary use previous project shared space alex pretty similar bos internship welcome use temple write note language length response
please pay close attention citation methods used example know alex stickler following correct citation methods,please pay close attention citation method use example know alex stickler follow correct citation method
citation method use site sources nothing specified,citation method use site source nothing specify
alex receives notebook receive email feedback shortly thereafter recommend completing notebook revisions helping teammates finish deliverables wait feedback soon team deliverables submitted witnessed get started next task,alex receive notebook receive email feedback shortly thereafter recommend complete notebook revision help teammate finish deliverable wait feedback soon team 's deliverable submit witness get start next task
access new notebook complete assignment,not_access new notebook complete assignment
posted another notebook entry old internship shared space internship studied control sensors power sources looking surfactants nevertheless welcome use example model response,post another notebook entry old internship shared space internship study control sensory power source look surfactant nevertheless welcome use example model response
submitted notebook waiting feedback alex help teammates submitted deliverable yet could also wrap notebook revisions time finish earlier still time team meeting may want start working final presentation giving end internship find outline alex expects presentations resource section workpro recommend start working background research section presentation,submit notebook wait feedback alex help teammate not_submitted deliverance yet could also wrap notebook revision not_have time finish early still time team meeting may want start work final presentation give end internship find outline alex expect presentation resource section workpro recommend start work background research section presentation
go start discussion,go start discussion
go start discussion,go start discussion
based surfactant graph surfactants perform relative one another,base surfactant graph surfactant perform relative one another
mean two relative,mean two relative
one surfactant obviously best choice,one surfactant obviously best choice
table pattern biological surfactant,table pattern biological surfactant
best think,best think
one surfactant performed well every attribute,one surfactant perform well every attribute
best highest cost,best high cost
steric hindering performed well cost less biological,steric hindering perform well cost less biological
surfactant focus cost rank marketability hard make sure three quality one performed well everything,surfactant focus cost rank marketability hard make sure three quality no one perform well everything
somehow managed miss assignment obviously bases discussion working attempt join conversation later sorry,somehow manage miss assignment obviously base discussion work attempt join conversation later sorry
yes consistent one steric hindering,yes consistent one steric hindering
would agree steric hindering,would agree steric hinder
choose best surfactant,choose best surfactant
overall performance attributes,overall performance 5 attribute
find chart wrong,find chart wrong
flux time equals matter teh,flux time equal 0 not_matter same
yeah prioritized flux lowest,yeah prioritize flux low
k,k
suppose discussing,suppose discuss
surfactant graphs helpful making final surfactant choice,surfactant graph helpful make final surfactant choice
feel hydrophilic surfactant little better blood cell reactivity would best overall due high reliability,feel hydrophilic surfactant little good blood cell activity would best overall due high reliability
helpful showed benefits weaknesses well agree hydrophilic pretty good reliability cost,helpful show benefit weakness well agree hydrophilic pretty good reliability cost
well tell graphs would helpful keeps data area turn makes easier compare contrast data,well tell graph would helpful keep data same area turn make easy compare contrast data
think helped put numerical data relation surfactants appear good paper example biological surfactant looks good paper graph see much cost related surfactants,think help put numerical data relation surfactant appear good paper example biological surfactant look good paper graph see much cost relate surfactant
value attributes others choosing best surfactant,value attribute others choose best surfactant
reliability top priority well cost,reliability top priority well cost
thought marketability least important something job well marketability would go feels like marketability combination attributes combined,think marketability least important something job well marketability would go feel like marketability combination 4 attribute combine
marketability seemed lower list,marketability seem low list
think one least would marketability,think one least would marketability
company consider cost quality,company consider cost quality
performance top priority eyes,performance top priority eye
think however cost would large factor well,think however cost would large factor well
cost reliability important,cost reliability important
people may choose product affected cost especially relatives life,people may not_choose product affect cost especially relatives life
cost would probably huge factor honestly,cost would probably huge factor honestly
got cancer others choose best even cost rather higher others,get cancer others choose best even cost rather high others
got cancer think people paying bills though,get cancer think people pay bill though
agree zelin non medical situation cost important situation cost important surfactant cost best job,agree zelin non medical situation cost important situation cost not_as important surfactant cost best job
well cost greatly affects marketability product hospital keep hand one use medical company profit need made,well cost greatly affect marketability product no_hospital keep hand no_one use medical company profit need make
agree cost factor would rather better working surfactant pay,agree cost factor would rather good work surfactant pay
life death situation honestly think reliable one would best option,not_a life death situation honestly think reliable one would best option
terms comfort patient expensive might way go since blood cell reactivity lowest expensive,term comfort patient expensive might way go since blood cell activity low expensive
really come kind people would selling product cheaper yet comfortable expensive comfortable,really come kind people would sell product cheaper yet not_as comfortable expensive comfortable
maybe another way cheap low quality,maybe another way cheap low quality
team next step,team 's next step
decide surfactant use,decide surfactant use
biological expensive one worst reliability surfactanst means go thus paying bunch money even though according expensive equals best quality,biological expensive one bad reliability surfactanst mean go thus pay bunch money even though accord expensive equal best quality
good point royce although comfortable reliable,good point royce although comfortable reliable
think steric hindering high quality yet cost much biological still better components biological,think steric hindering high quality yet not_cost much biological still good component biological
agree steric hindering,agree steric hinder
agree use biological think negative charge would better choice,agree not_to use biological think negative charge would good choice
basically job steric cost less,basically same job steric cost 60 less
saying biological best hydrophilic recommendation reliable,say biological not_the best hydrophilic recommendation just reliable
much better score marketability,much good score marketability 60
thought determined marketability matter much cost,think determine marketability not_matter much cost
cost matters marketability,cost matter marketability
agree eliminate bio steric,agree eliminate bio steric
yes,yes
sure,sure
think need everyone yes agree,think need everyone yes agree
hear,hear
agree,agree
negative best option,negative best option
hydrophilic,no_hydrophilic
