groupIDs,roomName,RoleName,userIDs,content,m_experimental_testing,m_making_design_choices,m_asking_questions,j_customer_consultants_requests,j_performance_parameters_requirements,j_communication,OutcomeScore,wordCount
2a,Introduction and Workflow Tutorial with Entrance Interview,Mentor,1,Hello team. Welcome to Nephrotex!,0,0,0,0,0,0,4,5
2a,Introduction and Workflow Tutorial with Entrance Interview,Mentor,1,I'm Maria Williams. I'll be your design advisor for your internship.,0,0,0,0,0,0,4,11
2a,Introduction and Workflow Tutorial with Entrance Interview,Mentor,1,I'm here to help if you have any questions.,0,0,0,0,0,0,4,9
2a,Introduction and Workflow Tutorial with Entrance Interview,Mentor,1,"Please introduce yourselves with the name you prefer to be called. WorkPro records all the work we do, and we review it with an external consultant to improve the quality of our internship program. So we ask you to use your first name only during this internship to protect your privacy.",0,0,0,1,0,0,4,51
2a,Introduction and Workflow Tutorial with Entrance Interview,Mentor,1,"I just want to make sure everyone has found the chat interface. Please send a chat to ""check in"" with the group. You can make your chat window bigger by clicking the + icon in the top right corner.",0,0,0,0,0,0,4,39
2a,Introduction and Workflow Tutorial with Entrance Interview,Player,2,Hello I am Brandon!,0,0,0,0,0,0,4,4
2a,Introduction and Workflow Tutorial with Entrance Interview,Player,3,I am Zelin,0,0,0,0,0,0,4,3
2a,Introduction and Workflow Tutorial with Entrance Interview,Player,3,Hi,0,0,0,0,0,0,4,1
2a,Introduction and Workflow Tutorial with Entrance Interview,Player,4,i am jack,0,0,0,0,0,0,4,3
2a,Introduction and Workflow Tutorial with Entrance Interview,Player,5,Hey! I'm Rachel!,0,0,0,0,0,0,2,3
2a,Introduction and Workflow Tutorial with Entrance Interview,Player,6,I am Royce,0,0,0,0,0,0,2,3
2a,Introduction and Workflow Tutorial with Entrance Interview,Mentor,1,"If you haven't already, please check your email.",0,0,0,0,0,0,4,8
2a,Introduction and Workflow Tutorial with Entrance Interview,Mentor,1,"Throughout your time at Nephrotex, you'll be receiving emails from our boss, Alex. He'll send you instructions about what to work on throughout the course of your internship.",0,0,0,0,0,0,4,28
2a,Introduction and Workflow Tutorial with Entrance Interview,Mentor,1,"Now, please check your Deliverable List on the bottom right corner of WorkPro.",0,0,0,0,0,0,4,13
2a,Introduction and Workflow Tutorial with Entrance Interview,Mentor,1,"Deliverables that have been assigned to you will show up in this list. You will be able to check to see the original email with the instructions Alex sent to you, whether you have submitted that deliverable, and whether Vedant has approved that deliverable.",0,0,0,0,0,0,4,44
2a,Introduction and Workflow Tutorial with Entrance Interview,Mentor,1,"For more detailed information about the Deliverable List, click the info button in the top right corner of the Deliverables List tab.",0,0,0,0,0,0,4,22
2a,Introduction and Workflow Tutorial with Entrance Interview,Mentor,1,"I have provided a summary of the workflow resource in the shared space. Plagiarism is not tolerated, so make sure to paraphrase the summary in your notebook entry.",0,0,0,0,1,1,4,28
2a,Introduction and Workflow Tutorial with Entrance Interview,Player,2,Is it imperative to know the answers to the questions in the interview?,0,0,1,0,0,0,4,13
2a,Introduction and Workflow Tutorial with Entrance Interview,Mentor,1,"If you're done with your notebook entry, submit it to Alex by clicking the submit button (middle of the notebook window).",0,0,0,0,0,1,4,21
2a,Introduction and Workflow Tutorial with Entrance Interview,Mentor,1,"You won't be able to edit your entry once you've submitted it, but if you need to update or correct your work, you can cancel your submission by clicking the ""x"" in the Deliverables List.",0,0,0,0,0,0,4,35
